,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position
0,1.0,1.0,7.0,0.0,False,2022-08-05T19:00:00Z,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,45.0,0.0,23970.0,0.0,0.0,Cédric Alves Soares,Arsenal,2,Defender
1,1.0,11.0,10.0,0.0,True,2022-08-13T14:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,44.0,-5169.0,24193.0,1361.0,6530.0,Cédric Alves Soares,Arsenal,2,Defender
2,1.0,21.0,3.0,0.0,False,2022-08-20T16:30:00Z,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,44.0,-4337.0,20960.0,879.0,5216.0,Cédric Alves Soares,Arsenal,2,Defender
3,1.0,31.0,9.0,0.0,True,2022-08-27T16:30:00Z,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,43.0,-2988.0,18825.0,577.0,3565.0,Cédric Alves Soares,Arsenal,2,Defender
4,1.0,41.0,2.0,0.0,True,2022-08-31T18:30:00Z,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,43.0,-1611.0,17790.0,405.0,2016.0,Cédric Alves Soares,Arsenal,2,Defender
5,1.0,56.0,14.0,0.0,False,2022-09-04T15:30:00Z,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,42.0,-1207.0,17133.0,516.0,1723.0,Cédric Alves Soares,Arsenal,2,Defender
6,1.0,72.0,4.0,0.0,False,2022-09-18T11:00:00Z,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,42.0,-445.0,16837.0,114.0,559.0,Cédric Alves Soares,Arsenal,2,Defender
7,1.0,81.0,18.0,0.0,True,2022-10-01T11:30:00Z,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,42.0,-1572.0,15362.0,64.0,1636.0,Cédric Alves Soares,Arsenal,2,Defender
8,1.0,91.0,12.0,0.0,True,2022-10-09T15:30:00Z,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,42.0,-828.0,14630.0,148.0,976.0,Cédric Alves Soares,Arsenal,2,Defender
9,1.0,104.0,11.0,0.0,False,2022-10-16T13:00:00Z,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00000,0.00000,0.00000,0.00000,42.0,-229.0,14586.0,227.0,456.0,Cédric Alves Soares,Arsenal,2,Defender
